iter	RMSE
0	4308.697138
1	4055.391124
2	3819.418616
3	3626.630062
4	3451.783928
5	3333.695362
6	3200.912211
7	3104.242185
8	2987.493109
9	2896.564468
10	2811.371835
11	2751.151617
12	2686.91927
13	2636.008022
14	2588.420118
15	2541.218016
16	2498.897559
17	2463.262764
18	2431.230769
19	2402.10749
20	2380.801639
21	2355.948442
22	2335.163301
23	2314.084091
24	2297.145041
25	2285.093883
26	2275.034186
27	2259.164498
28	2242.862738
29	2228.668385
30	2218.525426
31	2210.655587
32	2199.738639
33	2194.348136
34	2183.499219
35	2174.540413
36	2167.623911
37	2159.272575
38	2154.443384
39	2145.74994
40	2141.791828
41	2134.559388
42	2131.203897
43	2120.785329
44	2116.470864
45	2115.123737
46	2108.819881
47	2105.042654
48	2102.512084
49	2096.973604
50	2092.968383
51	2088.112765
52	2081.772623
53	2076.105419
54	2072.078591
55	2068.588874
56	2066.472039
57	2062.91056
58	2060.049457
59	2056.160951
60	2053.969702
61	2046.928073
62	2043.746412
63	2041.777113
64	2039.745725
65	2038.955043
66	2036.140202
67	2034.88245
68	2031.816163
69	2029.706137
70	2025.533258
71	2022.044608
72	2020.028626
73	2017.88362
74	2013.246206
75	2009.513872
76	2006.722748
77	2002.95786
78	1998.040266
79	1996.118447
80	1994.854552
81	1991.188748
82	1986.814258
83	1985.442781
84	1982.860258
85	1981.431694
86	1978.544445
87	1973.19115
88	1970.728857
89	1969.051881
90	1964.92755
91	1963.005934
92	1960.115281
93	1956.873975
94	1954.86521
95	1952.539354
96	1949.318048
97	1944.994541
98	1942.867354
99	1941.351029
