iter	Passed	Remaining
0	4	398
1	8	392
2	11	384
3	15	380
4	19	371
5	23	365
6	27	361
7	30	356
8	34	350
9	38	345
10	42	341
11	46	341
12	50	335
13	53	330
14	57	326
15	61	321
16	65	317
17	68	312
18	72	308
19	76	305
20	80	301
21	84	298
22	88	294
23	91	290
24	95	286
25	99	282
26	103	278
27	107	275
28	110	271
29	114	266
30	118	263
31	122	259
32	125	255
33	129	251
34	133	247
35	136	243
36	140	239
37	144	235
38	148	232
39	152	228
40	155	224
41	159	220
42	162	215
43	166	212
44	170	208
45	172	202
46	176	198
47	179	194
48	183	191
49	187	187
50	191	183
51	195	180
52	198	176
53	202	172
54	206	168
55	210	165
56	213	161
57	217	157
58	221	153
59	225	150
60	228	146
61	232	142
62	236	138
63	239	134
64	243	131
65	245	126
66	249	122
67	252	118
68	256	115
69	260	111
70	263	107
71	267	104
72	271	100
73	274	96
74	278	92
75	282	89
76	286	85
77	290	81
78	293	78
79	297	74
80	301	70
81	304	66
82	308	63
83	311	59
84	315	55
85	319	52
86	323	48
87	327	44
88	331	40
89	335	37
90	339	33
91	343	29
92	347	26
93	350	22
94	354	18
95	357	14
96	361	11
97	365	7
98	369	3
99	372	0
